,Organ,Cell Type,Time Point,Condition,Source,Cell Count,Original Labels
Skin Brown adipose tissue P1 [Cidea high] (MC20),Skin,Brown adipose tissue,P1,Cidea high,MC20,288,Brown adipose tissue_Cidea high(Neonatal-Skin)
Heart Ventricle cardiomyocyte P1 [Kcnj8 high] (MC20),Heart,Ventricle cardiomyocyte,P1,Kcnj8 high,MC20,81,Ventricle cardiomyocyte_Kcnj8 high(Neonatal-Heart)
Testis Macrophage WK6-10 [Lyz2 high] (MC20),Testis,Macrophage,WK6-10,Lyz2 high,MC20,205,Macrophage_Lyz2 high(Testis)
Bone Marrow c kit Macrophage WK6-10 [S100a4 high] (MC20),Bone Marrow c kit,Macrophage,WK6-10,S100a4 high,MC20,99,Macrophage_S100a4 high(Bone-Marrow_c-kit)
Mammary Gland Secretory alveoli cell WK6-10 [lactation mt-Tp high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation mt-Tp high,MC20,171,Secretory alveoli cell_mt-Tp high(Mammary-Gland-Lactation)
Uterus Endothelial cell WK6-10 [Tm4sf1 high] (MC20),Uterus,Endothelial cell,WK6-10,Tm4sf1 high,MC20,236,Endothelial cell_Tm4sf1 high(Uterus)
Placenta Dendritic cell WK6-10 (MC20),Placenta,Dendritic cell,WK6-10,,MC20,223,Dendritic cell(Placenta)
Bone Marrow Mesenchyme Proerythrocytes WK6-10 (MC20),Bone Marrow Mesenchyme,Proerythrocytes,WK6-10,,MC20,1522,Proerythrocytes(Bone_Marrow_Mesenchyme)
Kidney Distal convoluted tubule WK6-10 [S100g high] (MC20),Kidney,Distal convoluted tubule,WK6-10,S100g high,MC20,201,Distal convoluted tubule_S100g high(Kidney)
Rib Muscle cell P1 [Acta2 high] (MC20),Rib,Muscle cell,P1,Acta2 high,MC20,42,Muscle cell_Acta2 high(Neonatal-Rib)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Ptpn18 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Ptpn18 high,MC20,149,Secretory alveoli cell_Ptpn18 high(Mammary-Gland-Lactation)
Spleen T cell WK6-10 (MC20),Spleen,T cell,WK6-10,,MC20,622,T cell(Spleen)
Placenta Granulocyte monocyte progenitors WK6-10 (MC20),Placenta,Granulocyte monocyte progenitors,WK6-10,,MC20,44,Granulocyte monocyte progenitors(Placenta)
Bone Marrow Mesenchyme Endothelial cells WK6-10 (MC20),Bone Marrow Mesenchyme,Endothelial cells,WK6-10,,MC20,84,Endothelial cells(Bone_Marrow_Mesenchyme)
Bone Marrow c kit Basophil WK6-10 (MC20),Bone Marrow c kit,Basophil,WK6-10,,MC20,426,Basophil(Bone-Marrow_c-kit)
Mesenchyme Endothelial Cell E14.5 (MC20),Mesenchyme,Endothelial Cell,E14.5,,MC20,14,Endothelial Cell(Embryonic-Mesenchyme)
Stomach Pit cell WK6-10 [Ifrd1 high] (MC20),Stomach,Pit cell,WK6-10,Ifrd1 high,MC20,304,Pit cell_Ifrd1 high(Stomach)
Muscle Macrophage P1 [Lyz2 high] (MC20),Muscle,Macrophage,P1,Lyz2 high,MC20,136,Macrophage_Lyz2 high(Neonatal-Muscle)
Spleen Neutrophil WK6-10 (MC20),Spleen,Neutrophil,WK6-10,,MC20,8,Neutrophil(Spleen)
Muscle Neuron P1 (MC20),Muscle,Neuron,P1,,MC20,97,Neuron(Neonatal-Muscle)
Male  Gonad Premeiotic germ cells E14.5 (MC20),Male  Gonad,Premeiotic germ cells,E14.5,,MC20,751,Premeiotic germ cells(Male_Fetal_Gonad)
Stomach Erythroblast E14.5 [Hbb-bs high] (MC20),Stomach,Erythroblast,E14.5,Hbb-bs high,MC20,689,Erythroblast_Hbb-bs high(Fetal_Stomache)
Intestine Enteroendocrine E14.5 (MC20),Intestine,Enteroendocrine,E14.5,,MC20,22,Enteroendocrine(Fetal_Intestine)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Igfbp7 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Igfbp7 high,MC20,76,Secretory alveoli cell_Igfbp7 high(Mammary-Gland-Lactation)
Uterus Macrophage WK6-10 (MC20),Uterus,Macrophage,WK6-10,,MC20,247,Macrophage(Uterus)
Trophoblast Stem Cell TS WK6-10 [Rps28 high] (MC20),Trophoblast Stem Cell,TS,WK6-10,Rps28 high,MC20,2402,TS_Rps28_high(Trophoblast-Stem-Cell)
Kidney Principal cells of cortical collecting duct E14.5 (MC20),Kidney,Principal cells of cortical collecting duct,E14.5,,MC20,0,Principal cells of cortical collecting duct(Fetal_Kidney)
Mammary Gland Muscle cell WK6-10 [involution Inmt high] (MC20),Mammary Gland,Muscle cell,WK6-10,involution Inmt high,MC20,71,Muscle cell_Inmt high(Mammary-Gland-Involution)
Testis Pre Sertoli cell WK6-10 [Cst9 high] (MC20),Testis,Pre Sertoli cell,WK6-10,Cst9 high,MC20,465,Pre-Sertoli cell_Cst9 high(Testis)
Kidney Glomerular endothelial cell E14.5 (MC20),Kidney,Glomerular endothelial cell,E14.5,,MC20,0,Glomerular endothelial cell(Fetal_Kidney)
Thymus abT cell WK6-10 (MC20),Thymus,abT cell,WK6-10,,MC20,237,abT cell(Thymus)
Stomach Muscle cell WK6-10 (MC20),Stomach,Muscle cell,WK6-10,,MC20,37,Muscle cell(Stomach)
Placenta NKT cell WK6-10 (MC20),Placenta,NKT cell,WK6-10,,MC20,33,NKT cell(Placenta)
Mammary Gland Luminal cell WK6-10 [involution] (MC20),Mammary Gland,Luminal cell,WK6-10,involution,MC20,171,Luminal cell(Mammary-Gland-Involution)
Intestine Enterocyte progenitor E14.5 [late_Ube2c high] (MC20),Intestine,Enterocyte progenitor,E14.5,late_Ube2c high,MC20,602,Enterocyte progenitor_late_Ube2c high(Fetal_Intestine)
Peripheral Blood Neutrophil WK6-10 [Ltf high] (MC20),Peripheral Blood,Neutrophil,WK6-10,Ltf high,MC20,480,Neutrophil_Ltf high(Peripheral_Blood)
Skin Keratinocyte P1 (MC20),Skin,Keratinocyte,P1,,MC20,61,Keratinocyte(Neonatal-Skin)
Stomach Acinar cell E14.5 [Ctrb1 high] (MC20),Stomach,Acinar cell,E14.5,Ctrb1 high,MC20,238,Acinar cell_Ctrb1 high(Fetal_Stomache)
Pancreas Ductal cell P1 (MC20),Pancreas,Ductal cell,P1,,MC20,210,Ductal cell(NeonatalPancreas)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Cnp high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Cnp high,MC20,62,Secretory alveoli cell_Cnp high(Mammary-Gland-Lactation)
Muscle B cell WK6-10 [Vpreb3 high] (MC20),Muscle,B cell,WK6-10,Vpreb3 high,MC20,102,B cell_Vpreb3 high(Muscle)
Liver Epithelia cell WK6-10 [Spp1 high] (MC20),Liver,Epithelia cell,WK6-10,Spp1 high,MC20,99,Epithelia cell_Spp1 high(Liver)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Fth1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Fth1 high,MC20,347,Secretory alveoli cell_Fth1 high(Mammary-Gland-Lactation)
Thymus Pre T cell WK6-10 (MC20),Thymus,Pre T cell,WK6-10,,MC20,18,Pre T cell(Thymus)
Placenta Stromal cell WK6-10 [Acta2 high] (MC20),Placenta,Stromal cell,WK6-10,Acta2 high,MC20,42,Stromal cell_Acta2 high(Placenta)
Placenta Trophoblast progenitor WK6-10 [Taf7l high] (MC20),Placenta,Trophoblast progenitor,WK6-10,Taf7l high,MC20,68,Trophoblast progenitor_Taf7l high(Placenta)
Small Intestine Stromal cell WK6-10 [Adamdec1 high] (MC20),Small Intestine,Stromal cell,WK6-10,Adamdec1 high,MC20,25,Stromal cell_Adamdec1 high(Small-Intestine)
Lung Stromal cell WK6-10 [Dcn high] (MC20),Lung,Stromal cell,WK6-10,Dcn high,MC20,183,Stromal cell_Dcn high(Lung)
Rib Granulocyte P1 (MC20),Rib,Granulocyte,P1,,MC20,124,Granulocyte(Neonatal-Rib)
Testis Spermatocyte WK6-10 [1700001F09Rik high] (MC20),Testis,Spermatocyte,WK6-10,1700001F09Rik high,MC20,501,Spermatocyte_1700001F09Rik high(Testis)
Mammary Gland Secretory alveoli cell WK6-10 [involution Trf high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,involution Trf high,MC20,938,Secretory alveoli cell_Trf high(Mammary-Gland-Involution)
Rib Cartilage cell P1 [Clu high] (MC20),Rib,Cartilage cell,P1,Clu high,MC20,380,Cartilage cell_Clu high(Neonatal-Rib)
Pancreas Erythroblast P1 [Fam132a high] (MC20),Pancreas,Erythroblast,P1,Fam132a high,MC20,777,Erythroblast_Fam132a high(NeonatalPancreas)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Atf3 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Atf3 high,MC20,127,Secretory alveoli cell_Atf3 high(Mammary-Gland-Lactation)
Mesenchyme Neuron E14.5 [Isl1 high] (MC20),Mesenchyme,Neuron,E14.5,Isl1 high,MC20,80,Neuron_Isl1 high(Embryonic-Mesenchyme)
Muscle Macrophage WK6-10 [Retnla high] (MC20),Muscle,Macrophage,WK6-10,Retnla high,MC20,25,Macrophage_Retnla high(Muscle)
Trophoblast Stem Cell TS dif epithelial WK6-10 (MC20),Trophoblast Stem Cell,TS dif epithelial,WK6-10,,MC20,42,TS_dif_epithelial(Trophoblast-Stem-Cell)
Heart Endothelial cell P1 [Enpp2 high] (MC20),Heart,Endothelial cell,P1,Enpp2 high,MC20,32,Endothelial cell_Enpp2 high(Neonatal-Heart)
Kidney Fenestrated endothelial cell WK6-10 [Tm4sf1 high] (MC20),Kidney,Fenestrated endothelial cell,WK6-10,Tm4sf1 high,MC20,75,Fenestrated endothelial cell_Tm4sf1 high(Kidney)
Heart Epithelial cell P1 (MC20),Heart,Epithelial cell,P1,,MC20,20,Epithelial cell(Neonatal-Heart)
Intestine Erythroblast E14.5 [Hbb-y high] (MC20),Intestine,Erythroblast,E14.5,Hbb-y high,MC20,118,Erythroblast_Hbb-y high(Fetal_Intestine)
Liver Hepatocyte WK6-10 [mt-Nd4 high] (MC20),Liver,Hepatocyte,WK6-10,mt-Nd4 high,MC20,16,Hepatocyte_mt-Nd4 high(Liver)
Stomach Endocrine progenitor cell E14.5 (MC20),Stomach,Endocrine progenitor cell,E14.5,,MC20,51,Endocrine progenitor cell(Fetal_Stomache)
Stomach G cell WK6-10 (MC20),Stomach,G cell,WK6-10,,MC20,51,G cell(Stomach)
Kidney Proximal tubule cell WK6-10 [Cyp4a14 high] (MC20),Kidney,Proximal tubule cell,WK6-10,Cyp4a14 high,MC20,165,Proximal tubule cell_Cyp4a14 high(Kidney)
Male  Gonad Stromal cell E14.5 (MC20),Male  Gonad,Stromal cell,E14.5,,MC20,425,Stromal cell(Male_Fetal_Gonad)
Spleen Dendritic cell WK6-10 [S100a4 high] (MC20),Spleen,Dendritic cell,WK6-10,S100a4 high,MC20,67,Dendritic cell_S100a4 high(Spleen)
Brain Multiciliated epithelial cell P1 (MC20),Brain,Multiciliated epithelial cell,P1,,MC20,0,Multiciliated epithelial cell(Neonatal_Brain)
Stomach Epithelial cell WK6-10 [Pla2g1b high] (MC20),Stomach,Epithelial cell,WK6-10,Pla2g1b high,MC20,205,Epithelial cell_Pla2g1b high(Stomach)
Small Intestine Macrophage WK6-10 [G0s2 high] (MC20),Small Intestine,Macrophage,WK6-10,G0s2 high,MC20,86,Macrophage_G0s2 high(Small-Intestine)
Bone Marrow c kit Neutrophil WK6-10 [Ngp high] (MC20),Bone Marrow c kit,Neutrophil,WK6-10,Ngp high,MC20,2426,Neutrophil_Ngp high(Bone-Marrow_c-kit)
Ovary Marcrophage WK6-10 [Cd74 high] (MC20),Ovary,Marcrophage,WK6-10,Cd74 high,MC20,35,Marcrophage_Cd74 high(Ovary)
liver Mast cell E14.5 [Mcpt8 high] (MC20),liver,Mast cell,E14.5,Mcpt8 high,MC20,42,Mast cell_Mcpt8 high(Fetal-liver)
Brain Pyramidal neuron cell E14.5 (MC20),Brain,Pyramidal neuron cell,E14.5,,MC20,348,Pyramidal neuron cell(Fetal_Brain)
Bone Marrow Neutrophil WK6-10 [Mmp8 high] (MC20),Bone Marrow,Neutrophil,WK6-10,Mmp8 high,MC20,74,Neutrophil_Mmp8 high(Bone-Marrow)
Pancreas Endothelial cell WK6-10 [Fabp4 high] (MC20),Pancreas,Endothelial cell,WK6-10,Fabp4 high,MC20,562,Endothelial cell_Fabp4 high(Pancreas)
Mammary Gland T cell WK6-10 [pregnancy Grwd1 high] (MC20),Mammary Gland,T cell,WK6-10,pregnancy Grwd1 high,MC20,6,T cell_Grwd1 high(Mammary-Gland-Pregrancy)
Skin Brown adipose tissue P1 [mt-Nd5 high] (MC20),Skin,Brown adipose tissue,P1,mt-Nd5 high,MC20,16,Brown adipose tissue_mt-Nd5 high(Neonatal-Skin)
Muscle Dendritic cell P1 (MC20),Muscle,Dendritic cell,P1,,MC20,39,Dendritic cell(Neonatal-Muscle)
Calvaria Erythroblast P1 (MC20),Calvaria,Erythroblast,P1,,MC20,51,Erythroblast(Neonatal-Calvaria)
Pancreas B cell WK6-10 (MC20),Pancreas,B cell,WK6-10,,MC20,16,B cell(Pancreas)
Uterus Muscle cell WK6-10 [Mgp high] (MC20),Uterus,Muscle cell,WK6-10,Mgp high,MC20,530,Muscle cell_Mgp high(Uterus)
Female  Gonad Primordial germ cell E14.5 (MC20),Female  Gonad,Primordial germ cell,E14.5,,MC20,0,Primordial germ cell(Female_Fetal_Gonad)
Bone Marrow Mesenchyme Megakaryocyte WK6-10 (MC20),Bone Marrow Mesenchyme,Megakaryocyte,WK6-10,,MC20,56,Megakaryocyte(Bone_Marrow_Mesenchyme)
Pancreas Macrophage WK6-10 (MC20),Pancreas,Macrophage,WK6-10,,MC20,265,Macrophage(Pancreas)
Stomach Erythroblast E14.5 [Car2 high] (MC20),Stomach,Erythroblast,E14.5,Car2 high,MC20,235,Erythroblast_Car2 high(Fetal_Stomache)
Peripheral Blood Monocyte WK6-10 [Elane high] (MC20),Peripheral Blood,Monocyte,WK6-10,Elane high,MC20,226,Monocyte_Elane high(Peripheral_Blood)
Skin Osteoblast P1 [Dlk1 high] (MC20),Skin,Osteoblast,P1,Dlk1 high,MC20,365,Osteoblast_Dlk1 high(Neonatal-Skin)
Stomach Stomach cell WK6-10 [Mt2 high] (MC20),Stomach,Stomach cell,WK6-10,Mt2 high,MC20,346,Stomach cell_Mt2 high(Stomach)
Mesenchyme Erythroid Cell E14.5 (MC20),Mesenchyme,Erythroid Cell,E14.5,,MC20,174,Erythroid Cell(Embryonic-Mesenchyme)
Mammary Gland Stromal cell WK6-10 [lactation] (MC20),Mammary Gland,Stromal cell,WK6-10,lactation,MC20,148,Stromal cell(Mammary-Gland-Lactation)
Rib Erythroblast P1 [Ttr high] (MC20),Rib,Erythroblast,P1,Ttr high,MC20,1410,Erythroblast_Ttr high(Neonatal-Rib)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Ehf high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Ehf high,MC20,92,Secretory alveoli cell_Ehf high(Mammary-Gland-Lactation)
Kidney Epithelial cell WK6-10 [Cryab high] (MC20),Kidney,Epithelial cell,WK6-10,Cryab high,MC20,72,Epithelial cell_Cryab high(Kidney)
Muscle Chondrocyte P1 (MC20),Muscle,Chondrocyte,P1,,MC20,165,Chondrocyte(Neonatal-Muscle)
Brain Neuron E14.5 [Kpna2 high] (MC20),Brain,Neuron,E14.5,Kpna2 high,MC20,259,Neuron_Kpna2 high(Fetal_Brain)
Bladder Epithelial cell WK6-10 [Gm23935 high] (MC20),Bladder,Epithelial cell,WK6-10,Gm23935 high,MC20,64,Epithelial cell_Gm23935 high(Bladder)
Pancreas Neutrophil P1 [Retnlg high] (MC20),Pancreas,Neutrophil,P1,Retnlg high,MC20,227,Neutrophil_Retnlg high(NeonatalPancreas)
Peripheral Blood B cell WK6-10 [Ly6d high] (MC20),Peripheral Blood,B cell,WK6-10,Ly6d high,MC20,1113,B cell_Ly6d high(Peripheral_Blood)
Bladder Epithelial cell WK6-10 [Upk3a high] (MC20),Bladder,Epithelial cell,WK6-10,Upk3a high,MC20,224,Epithelial cell_Upk3a high(Bladder)
Intestine Macrophage E14.5 [Pf4 high] (MC20),Intestine,Macrophage,E14.5,Pf4 high,MC20,231,Macrophage_Pf4 high(Fetal_Intestine)
Uterus B cell WK6-10 (MC20),Uterus,B cell,WK6-10,,MC20,16,B cell(Uterus)
Skin Muscle cell P1 [Actc1 high] (MC20),Skin,Muscle cell,P1,Actc1 high,MC20,45,Muscle cell_Actc1 high(Neonatal-Skin)
Muscle Neutrophil P1 [Hmox1 high] (MC20),Muscle,Neutrophil,P1,Hmox1 high,MC20,250,Neutrophil_Hmox1 high(Neonatal-Muscle)
Skin Brown adipose tissue P1 [Cox8b high] (MC20),Skin,Brown adipose tissue,P1,Cox8b high,MC20,27,Brown adipose tissue_Cox8b high(Neonatal-Skin)
Small Intestine Dendrtic cell WK6-10 [Cst3 high] (MC20),Small Intestine,Dendrtic cell,WK6-10,Cst3 high,MC20,79,Dendrtic cell_Cst3 high(Small-Intestine)
Mammary Gland Dendritic cell WK6-10 [involution Il1b high] (MC20),Mammary Gland,Dendritic cell,WK6-10,involution Il1b high,MC20,74,Dendritic cell_Il1b high(Mammary-Gland-Involution)
Kidney Proximal tubule cell WK6-10 [Osgin1 high] (MC20),Kidney,Proximal tubule cell,WK6-10,Osgin1 high,MC20,263,Proximal tubule cell_Osgin1 high(Kidney)
Uterus Smooth muscle cell WK6-10 [Rgs5 high] (MC20),Uterus,Smooth muscle cell,WK6-10,Rgs5 high,MC20,43,Smooth muscle cell_Rgs5 high(Uterus)
Prostate Dendritic cell WK6-10 (MC20),Prostate,Dendritic cell,WK6-10,,MC20,21,Dendritic cell(Prostate)
Lung NK Cell WK6-10 (MC20),Lung,NK Cell,WK6-10,,MC20,275,NK Cell(Lung)
Mammary Gland Secretory alveoli cell WK6-10 [involution Csn2 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,involution Csn2 high,MC20,79,Secretory alveoli cell_Csn2 high(Mammary-Gland-Involution)
Heart Atrial cardiomyocyte P1 [Acta2 high] (MC20),Heart,Atrial cardiomyocyte,P1,Acta2 high,MC20,131,Atrial cardiomyocyte_Acta2 high(Neonatal-Heart)
Lung Stromal cell WK6-10 [Acta2 high] (MC20),Lung,Stromal cell,WK6-10,Acta2 high,MC20,62,Stromal cell_Acta2 high(Lung)
Kidney S1 proximal tubule cells WK6-10 (MC20),Kidney,S1 proximal tubule cells,WK6-10,,MC20,275,S1 proximal tubule cells(Kidney)
Mammary Gland T cell WK6-10 [lactation] (MC20),Mammary Gland,T cell,WK6-10,lactation,MC20,149,T cell(Mammary-Gland-Lactation)
Calvaria Stromal cell P1 [Col3a1 high] (MC20),Calvaria,Stromal cell,P1,Col3a1 high,MC20,50,Stromal cell_Col3a1 high(Neonatal-Calvaria)
Intestine Erythroblast E14.5 [Hbb-bs high] (MC20),Intestine,Erythroblast,E14.5,Hbb-bs high,MC20,215,Erythroblast_Hbb-bs high(Fetal_Intestine)
Lung Conventional dendritic cell WK6-10 [Tubb5 high] (MC20),Lung,Conventional dendritic cell,WK6-10,Tubb5 high,MC20,30,Conventional dendritic cell_Tubb5 high(Lung)
Lung Macrophage E14.5 [Lyz2 high] (MC20),Lung,Macrophage,E14.5,Lyz2 high,MC20,200,Macrophage_Lyz2 high(Fetal_Lung)
Mammary Gland Mast cell WK6-10 [pregnancy] (MC20),Mammary Gland,Mast cell,WK6-10,pregnancy,MC20,6,Mast cell(Mammary-Gland-Pregrancy)
Mammary Gland B cell WK6-10 [involution Cd79a high] (MC20),Mammary Gland,B cell,WK6-10,involution Cd79a high,MC20,177,B cell_Cd79a high(Mammary-Gland-Involution)
Mammary Gland Macrophage WK6-10 [involution Pf4 high] (MC20),Mammary Gland,Macrophage,WK6-10,involution Pf4 high,MC20,292,Macrophage_Pf4 high(Mammary-Gland-Involution)
Stomach Stomach cell WK6-10 [Gkn2 high] (MC20),Stomach,Stomach cell,WK6-10,Gkn2 high,MC20,403,Stomach cell_Gkn2 high(Stomach)
Peripheral Blood Dendritic cell WK6-10 [Siglech high] (MC20),Peripheral Blood,Dendritic cell,WK6-10,Siglech high,MC20,74,Dendritic cell_Siglech high(Peripheral_Blood)
Mammary Gland Macrophage WK6-10 [pregnancy] (MC20),Mammary Gland,Macrophage,WK6-10,pregnancy,MC20,91,Macrophage(Mammary-Gland-Pregrancy)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Bckdha high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Bckdha high,MC20,159,Secretory alveoli cell_Bckdha high(Mammary-Gland-Lactation)
Bone Marrow c kit Neutrophil WK6-10 [Ighg1 high] (MC20),Bone Marrow c kit,Neutrophil,WK6-10,Ighg1 high,MC20,3330,Neutrophil_Ighg1 high(Bone-Marrow_c-kit)
Brain Ependymal cell E14.5 (MC20),Brain,Ependymal cell,E14.5,,MC20,71,Ependymal cell(Fetal_Brain)
Lung Nuocyte WK6-10 (MC20),Lung,Nuocyte,WK6-10,,MC20,151,Nuocyte(Lung)
Kidney Dendritic cell WK6-10 [Ccr7 high] (MC20),Kidney,Dendritic cell,WK6-10,Ccr7 high,MC20,53,Dendritic cell_Ccr7 high(Kidney)
Mammary Gland Macrophage WK6-10 [involution Retnla high] (MC20),Mammary Gland,Macrophage,WK6-10,involution Retnla high,MC20,163,Macrophage_Retnla high(Mammary-Gland-Involution)
Lung Dendritic cell WK6-10 [Naaa high] (MC20),Lung,Dendritic cell,WK6-10,Naaa high,MC20,186,Dendritic cell_Naaa high(Lung)
Mesenchymal Stem Cell Cultured Mesenchymal stem cell WK6-10 [Cxcl10 high] (MC20),Mesenchymal Stem Cell Cultured,Mesenchymal stem cell,WK6-10,Cxcl10 high,MC20,58,Mesenchymal stem cell_Cxcl10 high(Mesenchymal-Stem-Cell-Cultured)
Mammary Gland B cell WK6-10 [involution Jchain high] (MC20),Mammary Gland,B cell,WK6-10,involution Jchain high,MC20,195,B cell_Jchain high(Mammary-Gland-Involution)
Lung Ig−producing B cell WK6-10 (MC20),Lung,Ig−producing B cell,WK6-10,,MC20,30,Ig−producing B cell(Lung)
Kidney Neutrophil progenitor WK6-10 [S100a8 high] (MC20),Kidney,Neutrophil progenitor,WK6-10,S100a8 high,MC20,13,Neutrophil progenitor_S100a8 high(Kidney)
Peripheral Blood Monocyte WK6-10 [F13a1 high] (MC20),Peripheral Blood,Monocyte,WK6-10,F13a1 high,MC20,133,Monocyte_F13a1 high(Peripheral_Blood)
liver Macrophage E14.5 (MC20),liver,Macrophage,E14.5,,MC20,76,Macrophage(Fetal-liver)
Bone Marrow Mesenchyme Stromal cell WK6-10 [Col1a2 high] (MC20),Bone Marrow Mesenchyme,Stromal cell,WK6-10,Col1a2 high,MC20,1371,Stromal cell_Col1a2 high(Bone_Marrow_Mesenchyme)
Kidney Thick ascending limb of the loop of Henle WK6-10 (MC20),Kidney,Thick ascending limb of the loop of Henle,WK6-10,,MC20,418,Thick ascending limb of the loop of Henle(Kidney)
Mesenchyme Stromal Cell E14.5 [fabp7 high] (MC20),Mesenchyme,Stromal Cell,E14.5,fabp7 high,MC20,100,Stromal Cell_fabp7 high(Embryonic-Mesenchyme)
Male  Gonad Pre sertoli cells E14.5 (MC20),Male  Gonad,Pre sertoli cells,E14.5,,MC20,213,Pre-sertoli cells (Male_Fetal_Gonad)
Peripheral Blood Erythroblast WK6-10 [Car2 high] (MC20),Peripheral Blood,Erythroblast,WK6-10,Car2 high,MC20,92,Erythroblast_Car2 high(Peripheral_Blood)
Spleen Monocyte WK6-10 (MC20),Spleen,Monocyte,WK6-10,,MC20,57,Monocyte(Spleen)
Bladder Mesenchymal stromal cell WK6-10 (MC20),Bladder,Mesenchymal stromal cell,WK6-10,,MC20,357,Mesenchymal stromal cell(Bladder)
Trophoblast Stem Cell TS WK6-10 [Mrp155 high] (MC20),Trophoblast Stem Cell,TS,WK6-10,Mrp155 high,MC20,11,TS_Mrp155_high(Trophoblast-Stem-Cell)
Brain Radial glia E14.5 [Vim high] (MC20),Brain,Radial glia,E14.5,Vim high,MC20,290,Radial glia_Vim high(Fetal_Brain)
Heart Vascular endothelial cell P1 (MC20),Heart,Vascular endothelial cell,P1,,MC20,315,Vascular endothelial cell(Neonatal-Heart)
Lung Ciliated cell WK6 (KO22),Lung,Ciliated cell,WK6,,KO22,389,Ciliated cell(Lung)
Rib Endothelial cell P1 (MC20),Rib,Endothelial cell,P1,,MC20,40,Endothelial cell(Neonatal-Rib)
Ovary luteal cells WK6-10 (MC20),Ovary,luteal cells,WK6-10,,MC20,523,luteal cells(Ovary)
Rib Neutrophil P1 (MC20),Rib,Neutrophil,P1,,MC20,674,Neutrophil(Neonatal-Rib)
Liver T cell WK6-10 [Trbc2 high] (MC20),Liver,T cell,WK6-10,Trbc2 high,MC20,219,T cell_Trbc2 high(Liver)
Brain Schwann cell E14.5 (MC20),Brain,Schwann cell,E14.5,,MC20,633,Schwann cell(Fetal_Brain)
Brain Radial glia E14.5 [Fabp7 high] (MC20),Brain,Radial glia,E14.5,Fabp7 high,MC20,332,Radial glia_Fabp7 high(Fetal_Brain)
Lung AT1 Cell WK6 (KO22),Lung,AT1 Cell,WK6,,KO22,354,AT1 Cell(Lung)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Tubb5 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Tubb5 high,MC20,50,Secretory alveoli cell_Tubb5 high(Mammary-Gland-Lactation)
Spleen NK cell WK6-10 (MC20),Spleen,NK cell,WK6-10,,MC20,80,NK cell(Spleen)
Kidney Macrophage E14.5 [Apoe high] (MC20),Kidney,Macrophage,E14.5,Apoe high,MC20,0,Macrophage_Apoe high(Fetal_Kidney)
Rib Cartilage cell P1 [Cxcl14 high] (MC20),Rib,Cartilage cell,P1,Cxcl14 high,MC20,534,Cartilage cell_Cxcl14 high(Neonatal-Rib)
liver Megakaryocyte E14.5 (MC20),liver,Megakaryocyte,E14.5,,MC20,23,Megakaryocyte(Fetal-liver)
Kidney T cell WK6-10 (MC20),Kidney,T cell,WK6-10,,MC20,72,T cell(Kidney)
Uterus Stromal cell WK6-10 [Ccl11 high] (MC20),Uterus,Stromal cell,WK6-10,Ccl11 high,MC20,489,Stromal cell_Ccl11 high(Uterus)
Lung Conventional dendritic cell WK6-10 [H2-M2 high] (MC20),Lung,Conventional dendritic cell,WK6-10,H2-M2 high,MC20,21,Conventional dendritic cell_H2-M2 high(Lung)
Mammary Gland Neuron WK6-10 [pregnancy] (MC20),Mammary Gland,Neuron,WK6-10,pregnancy,MC20,4,Neuron(Mammary-Gland-Pregrancy)
Brain Macrophage E14.5 (MC20),Brain,Macrophage,E14.5,,MC20,66,Macrophage(Fetal_Brain)
liver Erythroblast E14.5 [Hba-a2 high] (MC20),liver,Erythroblast,E14.5,Hba-a2 high,MC20,83,Erythroblast_Hba-a2 high(Fetal-liver)
Kidney Distal collecting duct principal cell WK6-10 [Cldn4 high] (MC20),Kidney,Distal collecting duct principal cell,WK6-10,Cldn4 high,MC20,96,Distal collecting duct principal cell_Cldn4 high(Kidney)
Muscle Smooth muscle cell P1 [Mylk high] (MC20),Muscle,Smooth muscle cell,P1,Mylk high,MC20,93,Smooth muscle cell_Mylk high(Neonatal-Muscle)
Small Intestine Epithelial cell WK6-10 [Kcne3 high] (MC20),Small Intestine,Epithelial cell,WK6-10,Kcne3 high,MC20,628,Epithelial cell_Kcne3 high(Small-Intestine)
